developer,month_year,network,total_commits
barretodavid,2023-07-01,starknet,26
barretodavid,2023-08-01,starknet,6
barretodavid,2023-09-01,starknet,10
barretodavid,2023-10-01,starknet,2
barretodavid,2023-11-01,starknet,12
barretodavid,2023-12-01,starknet,11
barretodavid,2024-01-01,starknet,24
barretodavid,2024-02-01,starknet,3
barretodavid,2024-03-01,starknet,21
barretodavid,2024-04-01,starknet,0
barretodavid,2024-05-01,starknet,2
barretodavid,2024-06-01,starknet,0
omarespejel,2023-07-01,starknet,75
omarespejel,2023-08-01,starknet,40
omarespejel,2023-09-01,starknet,44
omarespejel,2023-10-01,starknet,101
omarespejel,2023-11-01,starknet,59
omarespejel,2023-12-01,starknet,7
omarespejel,2024-01-01,starknet,1
omarespejel,2024-02-01,starknet,3
omarespejel,2024-03-01,starknet,0
omarespejel,2024-04-01,starknet,31
omarespejel,2024-05-01,starknet,6
omarespejel,2024-06-01,starknet,0
