developer,month_year,network,total_commits
08351ty,April_2022,starknet,0
08351ty,April_2023,starknet,0
08351ty,August_2022,starknet,0
08351ty,August_2023,starknet,0
08351ty,December_2021,starknet,0
08351ty,December_2022,starknet,0
08351ty,December_2023,starknet,0
08351ty,February_2022,starknet,0
08351ty,February_2023,starknet,0
08351ty,February_2024,starknet,0
08351ty,January_2022,starknet,0
08351ty,January_2023,starknet,3
08351ty,January_2024,starknet,0
08351ty,July_2022,starknet,0
08351ty,July_2023,starknet,0
08351ty,June_2022,starknet,0
08351ty,June_2023,starknet,0
08351ty,March_2022,starknet,0
08351ty,March_2023,starknet,0
08351ty,March_2024,starknet,0
08351ty,May_2022,starknet,12
08351ty,May_2023,starknet,0
08351ty,November_2021,starknet,0
08351ty,November_2022,starknet,0
08351ty,November_2023,starknet,0
08351ty,October_2021,starknet,0
08351ty,October_2022,starknet,0
08351ty,October_2023,starknet,0
08351ty,September_2021,starknet,0
08351ty,September_2022,starknet,0
08351ty,September_2023,starknet,0
0Stark,April_2022,starknet,0
0Stark,April_2023,starknet,0
0Stark,August_2022,starknet,0
0Stark,August_2023,starknet,0
0Stark,December_2022,starknet,0
0Stark,December_2023,starknet,0
0Stark,February_2022,starknet,0
0Stark,February_2023,starknet,0
0Stark,February_2024,starknet,0
0Stark,January_2023,starknet,0
0Stark,January_2024,starknet,0
0Stark,July_2022,starknet,0
0Stark,July_2023,starknet,0
0Stark,June_2022,starknet,0
0Stark,June_2023,starknet,0
0Stark,March_2022,starknet,0
0Stark,March_2023,starknet,0
0Stark,March_2024,starknet,0
0Stark,May_2022,starknet,0
0Stark,May_2023,starknet,0
0Stark,November_2022,starknet,2
0Stark,November_2023,starknet,0
0Stark,October_2022,starknet,0
0Stark,October_2023,starknet,0
0Stark,September_2022,starknet,0
0Stark,September_2023,starknet,0
0XMartinDC,April_2022,starknet,0
0XMartinDC,April_2023,starknet,0
0XMartinDC,August_2022,starknet,0
0XMartinDC,August_2023,starknet,0
0XMartinDC,December_2022,starknet,0
0XMartinDC,December_2023,starknet,0
0XMartinDC,February_2022,starknet,0
0XMartinDC,February_2023,starknet,0
0XMartinDC,February_2024,starknet,0
0XMartinDC,January_2023,starknet,0
0XMartinDC,January_2024,starknet,0
0XMartinDC,July_2022,starknet,0
0XMartinDC,July_2023,starknet,0
0XMartinDC,June_2022,starknet,0
0XMartinDC,June_2023,starknet,0
0XMartinDC,March_2022,starknet,0
0XMartinDC,March_2023,starknet,0
0XMartinDC,March_2024,starknet,0
0XMartinDC,May_2022,starknet,0
0XMartinDC,May_2023,starknet,0
0XMartinDC,November_2022,starknet,0
0XMartinDC,November_2023,starknet,1
0XMartinDC,October_2022,starknet,0
0XMartinDC,October_2023,starknet,0
0XMartinDC,September_2022,starknet,0
0XMartinDC,September_2023,starknet,0
0abst,April_2023,starknet,0
0abst,August_2022,starknet,0
0abst,August_2023,starknet,0
0abst,December_2022,starknet,0
0abst,December_2023,starknet,0
0abst,February_2023,starknet,0
0abst,February_2024,starknet,0
0abst,January_2023,starknet,0
0abst,January_2024,starknet,0
0abst,July_2022,starknet,6
0abst,July_2023,starknet,0
0abst,June_2023,starknet,0
0abst,March_2023,starknet,0
0abst,March_2024,starknet,0
0abst,May_2023,starknet,0
0abst,November_2022,starknet,0
0abst,November_2023,starknet,0
0abst,October_2022,starknet,0
0abst,October_2023,starknet,0
0abst,September_2022,starknet,0
0abst,September_2023,starknet,0
0mkara,April_2023,starknet,0
0mkara,August_2023,starknet,0
0mkara,December_2023,starknet,0
0mkara,February_2024,starknet,0
