developer,month_year,network,total_commits,dev_classification
08351ty,April_2022,starknet,0,Dev who was inactive
08351ty,April_2023,starknet,0,Dev who was inactive
08351ty,August_2022,starknet,0,Dev who was inactive
08351ty,August_2023,starknet,0,Dev who was inactive
08351ty,December_2021,starknet,0,Dev who was inactive
08351ty,December_2022,starknet,0,Dev who was inactive
08351ty,December_2023,starknet,0,Dev who was inactive
08351ty,February_2022,starknet,0,Dev who was inactive
08351ty,February_2023,starknet,0,Dev who was inactive
08351ty,February_2024,starknet,0,Dev who was inactive
08351ty,January_2022,starknet,0,Dev who was inactive
08351ty,January_2023,starknet,3,Dev who merged between 2 and 9 commits
08351ty,January_2024,starknet,0,Dev who was inactive
08351ty,July_2022,starknet,0,Dev who was inactive
08351ty,July_2023,starknet,0,Dev who was inactive
08351ty,June_2022,starknet,0,Dev who was inactive
08351ty,June_2023,starknet,0,Dev who was inactive
08351ty,March_2022,starknet,0,Dev who was inactive
08351ty,March_2023,starknet,0,Dev who was inactive
08351ty,May_2022,starknet,12,Dev who merged 10 or more commits
08351ty,May_2023,starknet,0,Dev who was inactive
08351ty,November_2021,starknet,0,Dev who was inactive
08351ty,November_2022,starknet,0,Dev who was inactive
08351ty,November_2023,starknet,0,Dev who was inactive
08351ty,October_2021,starknet,0,Dev who was inactive
08351ty,October_2022,starknet,0,Dev who was inactive
08351ty,October_2023,starknet,0,Dev who was inactive
08351ty,September_2021,starknet,0,Dev who was inactive
08351ty,September_2022,starknet,0,Dev who was inactive
08351ty,September_2023,starknet,0,Dev who was inactive
0Stark,April_2022,starknet,0,Dev who was inactive
0Stark,April_2023,starknet,0,Dev who was inactive
0Stark,August_2022,starknet,0,Dev who was inactive
0Stark,August_2023,starknet,0,Dev who was inactive
0Stark,December_2022,starknet,0,Dev who was inactive
0Stark,December_2023,starknet,0,Dev who was inactive
0Stark,February_2022,starknet,0,Dev who was inactive
0Stark,February_2023,starknet,0,Dev who was inactive
0Stark,February_2024,starknet,0,Dev who was inactive
0Stark,January_2023,starknet,0,Dev who was inactive
0Stark,January_2024,starknet,0,Dev who was inactive
0Stark,July_2022,starknet,0,Dev who was inactive
0Stark,July_2023,starknet,0,Dev who was inactive
0Stark,June_2022,starknet,0,Dev who was inactive
0Stark,June_2023,starknet,0,Dev who was inactive
0Stark,March_2022,starknet,0,Dev who was inactive
0Stark,March_2023,starknet,0,Dev who was inactive
0Stark,May_2022,starknet,0,Dev who was inactive
0Stark,May_2023,starknet,0,Dev who was inactive
0Stark,November_2022,starknet,2,Dev who merged between 2 and 9 commits
0Stark,November_2023,starknet,0,Dev who was inactive
0Stark,October_2022,starknet,0,Dev who was inactive
0Stark,October_2023,starknet,0,Dev who was inactive
0Stark,September_2022,starknet,0,Dev who was inactive
0Stark,September_2023,starknet,0,Dev who was inactive
0XMartinDC,April_2022,starknet,0,Dev who was inactive
0XMartinDC,April_2023,starknet,0,Dev who was inactive
0XMartinDC,August_2022,starknet,0,Dev who was inactive
0XMartinDC,August_2023,starknet,0,Dev who was inactive
0XMartinDC,December_2022,starknet,0,Dev who was inactive
0XMartinDC,December_2023,starknet,0,Dev who was inactive
0XMartinDC,February_2022,starknet,0,Dev who was inactive
0XMartinDC,February_2023,starknet,0,Dev who was inactive
0XMartinDC,February_2024,starknet,0,Dev who was inactive
0XMartinDC,January_2023,starknet,0,Dev who was inactive
0XMartinDC,January_2024,starknet,0,Dev who was inactive
0XMartinDC,July_2022,starknet,0,Dev who was inactive
0XMartinDC,July_2023,starknet,0,Dev who was inactive
0XMartinDC,June_2022,starknet,0,Dev who was inactive
0XMartinDC,June_2023,starknet,0,Dev who was inactive
0XMartinDC,March_2022,starknet,0,Dev who was inactive
0XMartinDC,March_2023,starknet,0,Dev who was inactive
0XMartinDC,May_2022,starknet,0,Dev who was inactive
0XMartinDC,May_2023,starknet,0,Dev who was inactive
0XMartinDC,November_2022,starknet,0,Dev who was inactive
0XMartinDC,November_2023,starknet,1,Dev who merged 1 commit
0XMartinDC,October_2022,starknet,0,Dev who was inactive
0XMartinDC,October_2023,starknet,0,Dev who was inactive
0XMartinDC,September_2022,starknet,0,Dev who was inactive
0XMartinDC,September_2023,starknet,0,Dev who was inactive
0abst,April_2023,starknet,0,Dev who was inactive
0abst,August_2022,starknet,0,Dev who was inactive
0abst,August_2023,starknet,0,Dev who was inactive
0abst,December_2022,starknet,0,Dev who was inactive
0abst,December_2023,starknet,0,Dev who was inactive
0abst,February_2023,starknet,0,Dev who was inactive
0abst,February_2024,starknet,0,Dev who was inactive
0abst,January_2023,starknet,0,Dev who was inactive
0abst,January_2024,starknet,0,Dev who was inactive
0abst,July_2022,starknet,6,Dev who merged between 2 and 9 commits
0abst,July_2023,starknet,0,Dev who was inactive
0abst,June_2023,starknet,0,Dev who was inactive
0abst,March_2023,starknet,0,Dev who was inactive
