month,downloads,source
2024-02,9404,Python (PyPI)
2024-02,11444,JavaScript (NPM)
2024-04,695,Rust (Cargo)
2024-03,9852,Python (PyPI)
2024-03,61840,JavaScript (NPM)
2024-05,5730,Rust (Cargo)
2024-04,17815,Python (PyPI)
2024-05,17580,Python (PyPI)
2024-06,15966,Python (PyPI)
2024-04,49027,JavaScript (NPM)
2024-05,94239,JavaScript (NPM)
2024-06,96817,JavaScript (NPM)
2024-06,6712,Rust (Cargo)
2024-07,12513,Rust (Cargo)
2024-08,19792,Rust (Cargo)
2024-07,19538,Python (PyPI)
2024-08,18417,Python (PyPI)
2024-09,36939,Python (PyPI)
2024-10,31439,Python (PyPI)
2024-11,23345,Python (PyPI)
2024-07,101140,JavaScript (NPM)
2024-08,141602,JavaScript (NPM)
2024-09,169782,JavaScript (NPM)
2024-10,215475,JavaScript (NPM)
2024-11,192255,JavaScript (NPM)
2024-12,12068,JavaScript (NPM)
2024-09,16412,Rust (Cargo)
2024-10,15254,Rust (Cargo)
2024-11,7014,Rust (Cargo)
2024-12,579,Rust (Cargo)
